,Predictions
3959,1.214365
3960,1.2143601
3961,1.2143613
3962,1.2143661
3963,1.2143729
3964,1.2143806
3965,1.2143835
3966,1.2143832
3967,1.2143865
3968,1.2143861
3969,1.2143838
3970,1.2143857
3971,1.2143847
3972,1.2143927
3973,1.2143952
3974,1.2143941
3975,1.2143856
3976,1.2143784
3977,1.2143612
3978,1.2143332
3979,1.2142997
3980,1.2142692
3981,1.2142363
3982,1.214203
3983,1.2141709
3984,1.214146
3985,1.2141321
3986,1.2141198
3987,1.2141092
3988,1.2141001
3989,1.2140924
3990,1.2140912
3991,1.2140995
3992,1.2141135
3993,1.2141194
3994,1.214126
3995,1.2141327
3996,1.2141336
3997,1.2141312
3998,1.2141266
3999,1.214121
4000,1.2141148
4001,1.2141303
4002,1.2141418
4003,1.214151
4004,1.2141529
4005,1.2141503
4006,1.2141612
4007,1.2141635
4008,1.2141608
4009,1.2141604
4010,1.2141559
4011,1.2141492
4012,1.2141467
4013,1.2141414
4014,1.2141292
4015,1.2141187
4016,1.2141095
4017,1.2141016
4018,1.2140892
4019,1.21408
4020,1.214073
4021,1.2140785
4022,1.2140862
4023,1.2140894
4024,1.21409
4025,1.2140889
4026,1.2140921
4027,1.2141088
4028,1.2141168
4029,1.214114
4030,1.2141099
4031,1.214116
4032,1.2141173
4033,1.2141156
4034,1.214112
4035,1.2141076
4036,1.2140974
4037,1.2140838
4038,1.2140688
4039,1.2140533
4040,1.2140436
4041,1.2140323
4042,1.2140205
4043,1.2140198
4044,1.2140149
4045,1.2140077
4046,1.2139996
4047,1.213991
4048,1.2139826
4049,1.2139745
4050,1.213967
4051,1.2139602
4052,1.2139485
4053,1.2139506
4054,1.2139611
4055,1.2139655
4056,1.2139716
4057,1.2139732
4058,1.2139881
4059,1.2139995
4060,1.2140088
4061,1.2140218
4062,1.214031
4063,1.2140377
4064,1.2140479
4065,1.2140707
4066,1.2140894
4067,1.2141052
4068,1.2141185
4069,1.2141352
4070,1.2141585
4071,1.2141851
4072,1.2142128
4073,1.2142454
4074,1.2142637
4075,1.2142833
4076,1.2142923
4077,1.2142942
4078,1.2143131
4079,1.2143309
4080,1.2143582
4081,1.2143902
4082,1.2144237
4083,1.2144464
4084,1.2144617
4085,1.2144717
4086,1.2144781
4087,1.214482
4088,1.214484
4089,1.2144847
4090,1.2144847
4091,1.2144841
4092,1.2144992
4093,1.214518
4094,1.2145276
4095,1.214542
4096,1.214559
4097,1.2145659
4098,1.2145665
4099,1.2145634
4100,1.2145631
4101,1.2145647
4102,1.2145725
4103,1.2145946
4104,1.2146246
4105,1.214653
4106,1.2146742
4107,1.2146902
4108,1.2147024
4109,1.214717
4110,1.2147219
4111,1.2147206
4112,1.2147208
4113,1.2147167
4114,1.2147152
4115,1.2147155
4116,1.2147112
4117,1.2146993
4118,1.2146989
4119,1.214695
4120,1.2146996
4121,1.2146987
4122,1.2146945
4123,1.2146938
4124,1.2146899
4125,1.2146841
4126,1.2146775
